Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Artigo/Inciso;Economia Absoluta;Economia Percentual
000078/20;78.0;DISPENSA;20;27;Homologada  ;16/10/2020;17500.0;17290.0;Contratação de empresa especializada na prestação de serviços de podas em árvores, para atender a demanda do município de Riolândia, com prestação par;24/08/2020;16/10/2020;;N;Art. 24, II, Lei 8666/93;210.0;0.012
000077/20;77.0;PREGÃO PRESENCIAL;20;37;Homologada  ;28/10/2020;472783.32;472869.5;Aquisição de Açúcar cristal, Arroz e Óleo de soja para atendimento às necessidades do serviço de merenda escolar da Rede Municipal de Ensino do Municí;15/10/2020;28/10/2020;;S;;-86.17999999999302;-0.00018228223449167583
000076/20;76.0;PREGÃO PRESENCIAL;20;36;Homologada  ;27/10/2020;41308.0;19976.0;A presente contratação tem por objeto a aquisição de Kits para Curso de gestantes na área da Saúde do município de Riolândia-SP, pelo período de 12 (d;09/10/2020;27/10/2020;;N;;21332.0;0.5164132855621187
000075/20;75.0;DISPENSA;20;26;Homologada  ;30/09/2020;16216.67;15850.0;A aquisição de aparelhos de ar condicionados novos, para suprir as necessidades do setor de Assistência Social da do município de Riolândia, conforme ;19/08/2020;30/09/2020;;N;Art. 24, II, Lei 8666/93;366.6700000000001;0.02261068394436096
000074/20;74.0;PREGÃO PRESENCIAL;20;35;Homologada  ;09/10/2020;151940.33;147000.0;Aquisição de equipamento de ultrassom digital, visando suprir as necessidades do município de Riolândia;28/09/2020;09/10/2020;;S;;4940.329999999987;0.03251493530387875
000073/20;73.0;PREGÃO PRESENCIAL;20;34;Homologada  ;30/09/2020;100768.0;88000.0;Aquisição de 01 (um) veículo 0 km, tipo ambulância, cor branca, ano/modelo mínimo de fabricação 2020, destinado ao uso do Setor da Saúde do município ;17/09/2020;30/09/2020;;N;;12768.0;0.12670689107653224
000071/20;71.0;PREGÃO PRESENCIAL;20;33;Homologada  ;09/09/2020;211183.33;201600.0;Aquisição de 02 (dois) veículos 0 km, destinados ao uso do Setor da Assistência Social do município de Riolândia, conforme especificações do Anexo I –;26/08/2020;09/09/2020;;N;;9583.329999999987;0.04537919730690859
000070/20;70.0;PREGÃO PRESENCIAL;20;32;Homologada  ;08/09/2020;506812.99;480117.74;O Registro de Preços para a aquisição de equipamentos e materiais de informática, destinados a diversos setores da Prefeitura Municipal de Riolândia, ;25/08/2020;08/09/2020;;S;;26695.25;0.052672781729607994
000069/20;69.0;DISPENSA;20;25;Homologada  ;18/08/2020;17586.67;17520.0;Contratação de empresa especializada na prestação de serviços de aplicação de sanitizante em prédios públicos e veículos da frota da Prefeitura Munici;04/08/2020;18/08/2020;;N;Art. 24, II, Lei 8666/93;66.66999999999825;0.003790939387615635
000068/20;68.0;PREGÃO PRESENCIAL;20;31;Homologada  ;10/09/2020;147999.96;60000.0;O Registro de Preço para a aquisição de massa asfáltica fria (CBUQ fria), para uso do Departamento de Obras e Serviços Municipais da Prefeitura Munici;17/08/2020;10/09/2020;;S;;87999.95999999999;0.5945944850255365
000067/20;67.0;DISPENSA;20;24;Homologada  ;13/08/2020;17497.32;17400.0;contratação de empresa especializada em fornecimento de plataforma de videomonitoramento externo, para monitoramento do fluxo de entrada e saída de ve;17/07/2020;13/08/2020;;N;Art. 24, II, Lei 8666/93;97.31999999999971;0.005561994636892948
000066/20;66.0;PREGÃO PRESENCIAL;20;30;Homologada  ;24/08/2020;189000.0;185500.0;O registro de preços para a aquisição de equipamentos para laboratório, visando suprir as necessidades do município de Riolândia, conforme quantidades;13/08/2020;24/08/2020;;S;;3500.0;0.018518518518518517
