Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Hora Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Prazo de Entrega/Início;Artigo/Inciso;Data Inicio Proposta;Data Fim Proposta
000038/22;038;PREGÃO PRESENCIAL;22;10;Homologada  ;04/05/2022;08:30;711.425,00;598.450,00;Registro de Preço para aquisição de bobinas de sacos de lixo para suprir a demanda de diversos setores da Prefeitura Municipal de Riolândia, com entre;07/04/2022;04/05/2022;;S;12/05/2023;;;
000037/22;037;TOMADA DE PREÇOS;22;4;Homologada  ;29/04/2022;09:00;690.454,70;690.454,70;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO DE UM PONTO DE APOIO PARA ATENDIMENTO À SAÚDE NO MUNICÍPIO DE RIOLÂNDIA/SP, COM FORNECIMENTO DE MÃO;06/04/2022;29/04/2022;;N;;;;
000036/22;036;DISPENSA;22;16;Homologada  ;08/04/2022;08:00;13.384,42;12.545,50;Contratação de empresa especializada para fornecimento de peças/acessórios que necessitam os Tratores do setor de Agricultura e Abastecimento da Prefe;18/02/2022;08/04/2022;;N;;Art. 24, II, Lei 8666/93;;
000035/22;035;CONVITE;22;5;Homologada  ;14/04/2022;09:30;48.117,19;47.640,00;Contratação de empresa especializada na prestação de serviços de instalação e manutenção de guias, sarjetas, passeio e calçadas no município de Riolân;22/03/2022;14/04/2022;;N;;;;
000034/22;034;DISPENSA;22;15;Homologada  ;01/04/2022;09:00;17.433,33;16.800,00;Contratação de empresa para atualizar o Plano Diretor de Turismo de forma imediata e assessorar o desenvolvimento do turismo no município, conforme An;07/02/2022;01/04/2022;;N;;Art. 24, II, Lei 8666/93;;
000033/22;033;PREGÃO ELETRÔNICO;22;11;Homologada  ;18/04/2022;08:30;179.108,00;83.836,98;Aquisição de diversos medicamentos para atender a demanda das Unidades Básicas de Saúde e Programas do município de Riolândia, especialmente em razão ;29/03/2022;18/04/2022;;N;;;;
000032/22;032;CONVITE;22;4;Homologada  ;11/04/2022;09:30;87.221,15;76.702,00;Contratação de floricultura para fornecimento e instalação de mudas e itens relacionados, para atender as necessidades de diversos setores do Municípi;28/03/2022;11/04/2022;;N;;;;
000031/22;031;DISPENSA;22;14;Homologada  ;29/03/2022;;53.000,00;46.000,00;Contratação URGENTE de empresa especializada na operação e execução de serviços de manutenção preventiva e corretiva do sistema de iluminação pública ;21/03/2022;29/03/2022;;N;;Art. 24, IV, Lei 8666/93;;
000030/22;030;DISPENSA;22;13;Homologada  ;21/03/2022;09:00;23.458,00;21.275,00;Contratação de empresa especializada no fornecimento de ovos de Páscoa, para atender as necessidades do Fundo Social de Solidariedade de Riolândia, co;03/03/2022;24/03/2022;;N;;Art. 75, II, Lei 14.133/2021;;
000029/22;029;DISPENSA;22;12;Homologada  ;17/03/2022;09:00;15.776,67;15.400,00;Contratação de serviços de passeio com trenzinho, para atender e proporcionar alegria as crianças do Município de Riolândia/SP, conforme especificaçõe;25/02/2022;17/03/2022;;N;;Art. 24, II, Lei 8666/93;;
000028/22;028;INEXIGIBILIDADE;22;1;Homologada  ;17/03/2022;09:00;9.750,00;9.750,00;Contratação de orquestra de sopros e percussão para realização de apresentação artística para as festividades do Aniversário do Município de Riolândia;04/03/2022;17/03/2022;;N;;Art. 25, III, Lei 8666/93;;
000027/22;027;DISPENSA;22;11;Homologada  ;17/03/2022;09:00;49.576,67;49.300,00;Contratação de empresa especializada em prestação de serviços de termonebulização (fumacê), conforme especificações técnicas e quantidades contidas no;07/03/2022;17/03/2022;;N;;Art. 75, VIII, Lei 14.133/2021;;
000026/22;026;DISPENSA;22;10;Homologada  ;16/03/2022;09:00;17.066,67;16.800,00;Aquisição de letreiro para a entrada da cidade, conforme especificações técnicas e quantidades contidas no Anexo I – Termo de Referência.;03/03/2022;16/03/2022;;N;;Art. 24, II, Lei 8666/93;;
000025/22;025;TOMADA DE PREÇOS;22;3;Homologada  ;01/04/2022;09:00;1.098.137,21;1.092.431,14;Contratação de empresa especializada em serviços de execução de infraestrutura (recapeamento asfáltico c.b.u.q.) na avenida de entrada da cidade, com ;09/03/2022;01/04/2022;;N;;;;
000024/22;024;CONVITE;22;3;Homologada  ;23/03/2022;09:30;119.500,50;111.750,00;Contratação de empresa para procedimentos relacionados à confecção de próteses dentárias removíveis para suprir as necessidades do Município de Riolân;07/03/2022;23/03/2022;;N;;;;
000023/22;023;PREGÃO PRESENCIAL;22;9;Homologada  ;02/05/2022;09:00;541.149,00;535.707,50;Aquisição de kits de materiais escolares para distribuição aos alunos matriculados nas escolas municipais de Riolândia/SP, pelo período de 12 (doze) m;10/03/2022;02/05/2022;;N;;;;
000022/22;022;DISPENSA;22;9;Homologada  ;08/03/2022;09:00;16.372,44;15.405,00;Aquisição de equipamentos odontológicos para atender a demanda do Centro Odontológico Municipal - COM do município de Riolândia, conforme descrições c;10/02/2022;08/03/2022;;N;;Art. 24, II, Lei 8666/93;;
000021/22;021;PREGÃO PRESENCIAL;22;8;Homologada  ;23/05/2022;08:30;382.500,00;360.000,00;Contratação de empresa especializada para operação e execução de serviços de manutenção preventiva e corretiva do sistema de iluminação pública e orna;02/03/2022;23/05/2022;;N;;;;
000020/22;020;PREGÃO PRESENCIAL;22;7;Homologada  ;28/03/2022;08:30;1.166.116,97;683.084,63;O Registro de Preços para a Aquisição de equipamentos e materiais de informática, destinados a diversos setores da Prefeitura Municipal de Riolândia, ;25/02/2022;28/03/2022;;S;05/04/2023;;;
000019/22;019;DISPENSA;22;8;Homologada  ;25/02/2022;09:00;22.376,75;17.500,00;Aquisição de 2 (dois) ares condicionados para atender as necessidades do setor de Transporte e Contabilidade do Município de Riolândia-SP, conforme es;16/01/2022;25/02/2022;;N;;Art. 75, II, Lei 14.133/2021;;
000018/22;018;DISPENSA;22;7;Homologada  ;25/02/2022;09:00;12.146,34;10.909,15;Contratação de empresa especializada na prestação de serviços relacionados à adequação dos circuitos para o sistema predial da Escola Maria Aparecida ;07/02/2022;25/02/2022;;N;;Art. 24, II, Lei 8666/93;;
000017/22;017;PREGÃO PRESENCIAL;22;6;Homologada  ;11/03/2022;08:30;238.710,00;195.600,00;O registro de preços para a contratação de empresa especializada em serviços de solda e torno preventiva e corretiva em veículos, maquinários e mobili;16/02/2022;11/03/2022;;S;18/03/2023;;;
000016/22;016;DISPENSA;22;6;Homologada  ;17/02/2022;09:00;18.483,60;17.570,00;Aquisição de cadeiras de rodas, para atender as necessidades das Unidades Básicas de Saúde do Município de Riolândia/SP, com entrega imediata, conform;01/02/2022;17/02/2022;;N;;Art. 24, II, Lei 8666/93;;
000015/22;015;DISPENSA;22;5;Homologada  ;17/02/2022;09:00;19.053,35;17.500,00;Contratação de empresa especializada no fornecimento de cortinas, para atender as necessidades da Creche Antônio Gonçalves e EMEB Ruy Malachias do Mun;27/12/2021;17/02/2022;;N;;Art. 24, II, Lei 8666/93;;
000014/22;014;CONVITE;22;2;Homologada  ;03/03/2022;09:30;36.659,10;33.984,50;Contratação de empresa especializada no fornecimento de peças/acessórios e prestação de serviços de mão de obra, para reforma do Micro Ônibus (placa D;10/02/2022;03/03/2022;;N;;;;
000013/22;013;DISPENSA;22;4;Homologada  ;10/02/2022;09:00;11.045,00;9.796,00;Contratação de empresa especializada no fornecimento de peças/acessórios e prestação de serviços de mão de obra, para manutenção especifica do câmbio ;05/01/2022;10/02/2022;;N;;Art. 24, II, Lei 8666/93;;
000012/22;;LEILÃO;22;1;            ;;;;;LEILÃO ALIENAÇÃO DE BENS MÓVEIS;;;;;;;;
000011/22;011;PREGÃO PRESENCIAL;22;5;Homologada  ;18/02/2022;08:30;5.266.069,00;4.602.627,00;O Registro de preço para aquisição de gêneros alimentícios perecíveis para atendimento às necessidades do serviço de merenda escolar da Rede Municipal;01/02/2022;18/02/2022;;S;25/02/2023;;;
000010/22;010;DISPENSA;22;3;Homologada  ;01/02/2022;09:00;13.026,67;11.000,00;Aquisição de mesas e bancos de pedra de ardósia, para atender a necessidade da Creche Municipal de Riolândia/SP, com entrega imediata, conforme descri;10/01/2022;01/02/2022;;N;;Art. 24, II, Lei 8666/93;;
000009/22;009;PREGÃO PRESENCIAL;22;4;Homologada  ;15/02/2022;09:00;616.023,67;580.000,00;Aquisição de 01 (um) Caminhão Pipa, para atender a demanda do Setor do Meio Ambiente da Prefeitura Municipal de Riolândia/SP, conforme especificações ;31/01/2022;15/02/2022;;N;;;;
